Order ID,Supplier,Product,Order Value (ERN),Status,Order Date,Delivery Date,Notes
ORD-1001,Horn Petro Group,Jet Fuel (Bulk),169431,Delayed,2024-06-16,2024-06-19,Supplier reported customs clearance issue.
ORD-1002,Zoba Lubricants,LPG Cylinders,105025,Completed,2024-11-28,2024-12-04,Delivered on schedule.
ORD-1003,Red Sea Fuel Traders,"Gasoline (5,000L)",161714,Cancelled,2024-03-21,,Order cancelled due to contract dispute.
ORD-1004,Horn Petro Group,"Gasoline (5,000L)",177914,Cancelled,2024-07-28,,Order cancelled due to contract dispute.
ORD-1005,Highland Jet Logistics,"Gasoline (5,000L)",122185,Delayed,2024-08-10,2024-08-13,Supplier reported customs clearance issue.
ORD-1006,Zoba Lubricants,"Diesel (10,000L)",38512,Delayed,2024-01-20,2024-01-26,Supplier reported customs clearance issue.
ORD-1007,Green Valley LPG,"Diesel (10,000L)",192225,Completed,2024-09-23,2024-10-08,Delivered on schedule.
ORD-1008,Red Sea Fuel Traders,Grease Pails,142721,Delayed,2024-02-02,2024-02-13,Supplier reported customs clearance issue.
ORD-1009,Highland Jet Logistics,Lubricant Barrels,67571,Pending,2024-09-15,,Awaiting dispatch confirmation.
ORD-1010,Zoba Lubricants,LPG Cylinders,126913,Completed,2024-02-25,2024-02-29,Delivered on schedule.
ORD-1011,Massawa Gas Supply Co.,"Diesel (10,000L)",153231,Completed,2024-10-14,2024-10-23,Delivered on schedule.
ORD-1012,Red Sea Fuel Traders,Grease Pails,170690,Pending,2024-05-12,,Awaiting dispatch confirmation.
ORD-1013,Asmara Petrochem Ltd.,Grease Pails,85087,Delayed,2024-10-12,2024-10-16,Supplier reported customs clearance issue.
ORD-1014,Asmara Petrochem Ltd.,"Gasoline (5,000L)",72541,Delayed,2024-04-03,2024-04-12,Supplier reported customs clearance issue.
ORD-1015,Horn Petro Group,"Gasoline (5,000L)",175489,Partially Delivered,2024-12-21,2024-12-25,Only 60% of order received. Awaiting remainder.
ORD-1016,Massawa Gas Supply Co.,Coolant Cases,156581,Completed,2024-09-08,2024-09-10,Delivered on schedule.
ORD-1017,Massawa Gas Supply Co.,"Gasoline (5,000L)",151995,Completed,2024-11-02,2024-11-10,Delivered on schedule.
ORD-1018,Highland Jet Logistics,Jet Fuel (Bulk),102107,Completed,2024-12-14,2024-12-24,Delivered on schedule.
ORD-1019,Highland Jet Logistics,"Gasoline (5,000L)",40202,Completed,2024-06-10,2024-06-21,Delivered on schedule.
ORD-1020,Zoba Lubricants,Grease Pails,48729,Completed,2024-06-11,2024-06-21,Delivered on schedule.
ORD-1021,Horn Petro Group,Grease Pails,102798,Pending,2024-08-03,,Awaiting dispatch confirmation.
ORD-1022,Asmara Petrochem Ltd.,LPG Cylinders,148236,Completed,2024-09-13,2024-09-27,Delivered on schedule.
ORD-1023,Zoba Lubricants,Coolant Cases,171549,Delayed,2024-08-17,2024-09-01,Supplier reported customs clearance issue.
ORD-1024,Massawa Gas Supply Co.,"Gasoline (5,000L)",78820,Partially Delivered,2024-08-23,2024-08-29,Only 60% of order received. Awaiting remainder.
ORD-1025,Horn Petro Group,LPG Cylinders,43413,Completed,2024-07-08,2024-07-22,Delivered on schedule.
ORD-1026,Asmara Petrochem Ltd.,LPG Cylinders,176090,Pending,2024-01-08,,Awaiting dispatch confirmation.
ORD-1027,Green Valley LPG,Lubricant Barrels,197598,Delayed,2024-07-19,2024-08-01,Supplier reported customs clearance issue.
ORD-1028,Horn Petro Group,Grease Pails,147504,Completed,2024-02-20,2024-02-24,Delivered on schedule.
ORD-1029,Zoba Lubricants,Jet Fuel (Bulk),168010,Cancelled,2024-10-27,,Order cancelled due to contract dispute.
ORD-1030,Green Valley LPG,Jet Fuel (Bulk),175810,Partially Delivered,2024-07-08,2024-07-21,Only 60% of order received. Awaiting remainder.
